"","item_id","category_desc","start_date","end_date","date_count"
"1",5272,"Drink",2013-05-20,2013-10-22,156
"2",5276,"Drink",2013-05-20,2015-02-05,627
"3",5290,"Drink",2013-05-21,2014-11-09,538
"4",5296,"Drink",2013-05-20,2014-11-16,546
"5",5310,"Snack",2014-02-04,2014-02-27,24
"6",5312,"Snack",2014-03-20,2015-05-17,424
"7",5339,"Snack",2014-03-24,2015-03-03,345
"8",5411,"Others",2013-07-13,2015-05-17,674
"9",5999,"Drink",2013-08-26,2015-05-17,630
"10",6000,"Drink",2013-08-26,2013-12-27,124
"11",6021,"Snack",2013-05-20,2014-03-21,306
"12",6023,"Snack",2013-05-20,2014-03-20,305
"13",6025,"Snack",2013-05-20,2014-03-20,305
"14",6052,"Main",2013-05-20,2014-02-18,275
"15",6067,"Snack",2014-07-01,2014-07-30,30
"16",6074,"Drink",2013-05-20,2013-10-17,151
"17",6076,"Drink",2013-06-01,2013-12-20,203
"18",6082,"Drink",2013-05-20,2015-03-25,675
"19",6106,"Main",2013-05-20,2015-04-18,699
"20",6182,"Drink",2013-06-08,2015-03-01,632
"21",6270,"Snack",2014-11-11,2014-11-30,20
"22",6271,"Non-Food",2013-06-01,2014-08-22,448
"23",10961,"Main",2013-05-20,2013-06-15,27
"24",11141,"Non-Food",2015-03-23,2015-05-03,42
"25",11328,"Dessert",2013-05-20,2014-02-06,263
"26",11331,"Main",2013-05-20,2014-04-22,338
"27",11400,"Main",2013-05-20,2014-06-05,382
"28",11446,"Main",2013-05-20,2015-01-01,592
"29",11447,"Dessert",2014-03-24,2015-04-16,389
"30",11470,"Main",2014-10-06,2015-04-07,184
"31",11480,"Drink",2013-08-23,2015-03-19,574
"32",11533,"Snack",2013-05-20,2014-03-22,307
"33",11535,"Snack",2013-05-25,2014-03-23,303
"34",11599,"Non-Food",2013-09-26,2013-11-20,56
"35",11649,"Main",2013-05-20,2014-09-25,494
"36",11712,"Main",2013-08-26,2013-10-25,61
"37",11713,"Side Item",2013-05-20,2014-03-23,308
"38",11770,"Main",2013-05-20,2014-02-09,266
"39",11772,"Side Item",2014-02-03,2015-03-23,414
"40",11776,"Main",2013-07-29,2015-05-17,658
"41",11777,"Main",2013-07-29,2015-05-17,658
"42",11850,"Main",2013-07-29,2013-08-25,28
"43",11851,"Side Item",2013-05-27,2013-08-09,75
"44",11856,"Main",2013-05-20,2014-01-07,233
"45",11858,"Side Item",2013-05-20,2014-01-28,254
"46",11941,"Main",2013-07-03,2013-12-27,178
"47",11956,"Main",2013-07-02,2014-08-01,396
"48",11974,"Main",2013-05-20,2015-02-19,641
"49",11976,"Drink",2013-05-20,2015-02-12,634
"50",12170,"Main",2014-03-24,2015-05-17,420
"51",12197,"Snack",2013-07-23,2014-03-22,243
"52",12227,"Dessert",2013-11-11,2015-05-17,553
"53",12237,"Snack",2013-05-20,2013-06-20,32
"54",12245,"Snack",2013-09-17,2014-02-02,139
