"","calendar_date","store_code","ID","daily_sold"
"1","01/01/14","SHA312","Drink_ID5276",13
"2","01/01/14","SHA227","Main_ID5285",22
"3","01/01/14","SHA312","Drink_ID5290",20
"4","01/01/14","SHA312","Drink_ID5293",64
"5","01/01/14","SHA312","Drink_ID5296",23
"6","01/01/14","SHA227","Drink_ID5300",47
"7","01/01/14","SHA227","Main_ID5306",62
"8","01/01/14","SHA227","Side Item_ID5319",43
"9","01/01/14","SHA227","Side Item_ID5341",31
"10","01/01/14","SHA312","Dessert_ID5348",70
"11","01/01/14","SHA312","Drink_ID5371",15
"12","01/01/14","SHA227","Drink_ID5372",147
"13","01/01/14","SHA312","Drink_ID5373",196
"14","01/01/14","SHA227","Side Item_ID5383",59
"15","01/01/14","SHA227","Non-Food_ID5410",9
"16","01/01/14","SHA227","Main_ID5968",29
"17","01/01/14","SHA227","Main_ID5969",1
"18","01/01/14","SHA227","Main_ID5971",38
"19","01/01/14","SHA312","Main_ID5977",138
"20","01/01/14","SHA227","Side Item_ID5979",4
"21","01/01/14","SHA227","Side Item_ID5984",35
"22","01/01/14","SHA227","Side Item_ID5986",7
"23","01/01/14","SHA227","Side Item_ID5989",23
"24","01/01/14","SHA227","Side Item_ID5990",16
"25","01/01/14","SHA227","Side Item_ID5991",70
"26","01/01/14","SHA227","Main_ID5992",6
"27","01/01/14","SHA227","Drink_ID5999",12
"28","01/01/14","SHA227","Snack_ID6023",5
"29","01/01/14","SHA227","Snack_ID6025",8
"30","01/01/14","SHA312","Snack_ID6029",153
"31","01/01/14","SHA227","Snack_ID6034",216
"32","01/01/14","SHA312","Main_ID6050",216
"33","01/01/14","SHA227","Main_ID6052",30
"34","01/01/14","SHA227","Dessert_ID6060",29
"35","01/01/14","SHA227","Dessert_ID6061",27
"36","01/01/14","SHA227","Drink_ID6082",9
"37","01/01/14","SHA227","Dessert_ID6095",86
"38","01/01/14","SHA227","Main_ID6105",94
"39","01/01/14","SHA227","Main_ID6106",20
"40","01/01/14","SHA227","Main_ID6112",13
"41","01/01/14","SHA227","Non-Food_ID6138",6
"42","01/01/14","SHA312","Non-Food_ID6150",3
"43","01/01/14","SHA227","Non-Food_ID6156",101
"44","01/01/14","SHA227","Drink_ID6186",154
"45","01/01/14","SHA227","Non-Food_ID11147",10
"46","01/01/14","SHA312","Drink_ID11149",32
"47","01/01/14","SHA227","Main_ID11331",23
"48","01/01/14","SHA227","Snack_ID11371",31
"49","01/01/14","SHA227","Main_ID11399",87
"50","01/01/14","SHA227","Main_ID11400",21
"51","01/01/14","SHA227","Main_ID11446",62
"52","01/01/14","SHA312","Drink_ID11480",31
"53","01/01/14","SHA227","Snack_ID11533",2
"54","01/01/14","SHA227","Snack_ID11535",2
"55","01/01/14","SHA227","Side Item_ID11537",24
"56","01/01/14","SHA227","Drink_ID11569",29
"57","01/01/14","SHA227","Main_ID11649",9
"58","01/01/14","SHA227","Main_ID11770",8
"59","01/01/14","SHA227","Main_ID11776",6
"60","01/01/14","SHA227","Main_ID11777",8
"61","01/01/14","SHA227","Main_ID11974",9
"62","01/01/14","SHA227","Drink_ID11976",14
"63","01/01/14","SHA227","Dessert_ID12227",22
"64","01/01/14","SHA227","Main_ID12228",31
"65","01/01/14","SHA312","Snack_ID12245",419
"66","01/01/14","SHA312","Drink_ID12248",15
"67","01/01/14","SHA227","Side Item_ID12315",6
"68","01/01/14","SHA227","Main_ID12324",8
