,item_id,category,category_desc,unit_sold,alc_price,amount,calendar_date,,
8,5373,10,Drink,2,7.5,15,2013/5/20,,382
9,5373,10,Drink,29,7.5,217.5,2013/5/20,,
10,5373,10,Drink,25,7.5,187.5,2013/5/20,,
13082,5373,10,Drink,128,9,1152,2013/5/20,,
18833,5373,10,Drink,5,22.5,80.04799652,2013/5/20,,
18838,5373,10,Drink,25,7.5,102.8225021,2013/5/20,,
18839,5373,10,Drink,9,7.5,37.01610184,2013/5/20,,
18841,5373,10,Drink,5,7.5,22.5,2013/5/20,,
18843,5373,10,Drink,4,7.5,17,2013/5/20,,
18844,5373,10,Drink,40,7.5,145.1600037,2013/5/20,,
18848,5373,10,Drink,12,7.5,43.54800034,2013/5/20,,
18849,5373,10,Drink,11,7.5,47.1427002,2013/5/20,,
18851,5373,10,Drink,3,7.5,11.25,2013/5/20,,
18853,5373,10,Drink,1,7.5,5.199999809,2013/5/20,,
18854,5373,10,Drink,4,7.5,19.41160011,2013/5/20,,
18855,5373,10,Drink,3,7.5,13.5,2013/5/20,,
18856,5373,10,Drink,5,7.5,21.42849922,2013/5/20,,
18860,5373,10,Drink,14,7.5,54.31019974,2013/5/20,,
18861,5373,10,Drink,4,7.5,15.51720047,2013/5/20,,
18862,5373,10,Drink,14,7.5,66.31520081,2013/5/20,,
18863,5373,10,Drink,15,7.5,69.82800293,2013/5/20,,
18864,5373,10,Drink,3,7.5,15.60000038,2013/5/20,,
18865,5373,10,Drink,9,7.5,43.5483017,2013/5/20,,
18866,5373,10,Drink,1,7.5,4.838699818,2013/5/20,,
18867,5373,10,Drink,1,7.5,5.5,2013/5/20,,
18869,5373,10,Drink,2,7.5,11,2013/5/20,,
18870,5373,10,Drink,2,7.5,11.08699989,2013/5/20,,
60950,5373,10,Drink,5,27,89.63549805,2013/5/20,,
60952,5373,10,Drink,1,9,5.940000057,2013/5/20,,
3,5991,20,Side Item,20,8.5,170,2013/5/20,,
7,5991,20,Side Item,1,8.5,7,2013/5/20,,
17,5991,20,Side Item,2,8.5,14,2013/5/20,,
18823,5991,20,Side Item,6,8.5,44.625,2013/5/20,,
18825,5991,20,Side Item,12,8.5,88.97879791,2013/5/20,,
18827,5991,20,Side Item,6,8.5,44.48939896,2013/5/20,,
18828,5991,20,Side Item,5,8.5,36.83349991,2013/5/20,,
18829,5991,20,Side Item,5,8.5,34.48099899,2013/5/20,,
18830,5991,20,Side Item,2,8.5,14.875,2013/5/20,,
