year,region,regionid,mid,west,consumption,new_dependent_ratio,new_dependent_ratio_young,new_dependent_ratio_old,dependent_ratio,dependent_ratio_young,dependent_ratio_old,gdp,gov
2015,北京,1,0,0,39200,8.76 ,4.57 ,4.19 ,26.2,12.8,13.5,23014.59,20.61204515
2015,天津,2,0,0,32595,12.13 ,6.41 ,5.72 ,25.7,12.7,12.9,16538.19,16.62191675
2015,河北,3,0,0,12829,16.49 ,10.95 ,5.55 ,39.7,25.5,14.2,29806.11,15.35066214
2015,山西,4,1,0,14364,12.39 ,8.22 ,4.17 ,32,19.9,12.1,12766.49,22.78129884
2015,内蒙古,5,0,1,20835,13.56 ,8.64 ,4.91 ,29.2,16.9,12.4,17831.51,21.57345639
2015,辽宁,6,0,0,23693,14.29 ,7.30 ,6.99 ,30.7,13.9,16.8,28669.02,18.34706233
2015,吉林,7,1,0,14630,11.87 ,7.27 ,4.60 ,29.7,15.5,14.2,14063.13,20.69813489
2015,黑龙江,8,1,0,16443,12.03 ,6.96 ,5.07 ,27.3,13.5,13.8,15083.67,23.16401759
2015,上海,9,0,0,45816,10.77 ,5.22 ,5.55 ,28.5,12,16.5,25123.45,20.73173149
2015,江苏,10,0,0,31682,16.32 ,8.72 ,7.61 ,35.6,18.4,17.2,70116.38,13.00018758
2015,浙江,11,0,0,28712,15.43 ,9.03 ,6.40 ,31.9,17,14.9,42886.49,12.005886
2015,安徽,12,1,0,13941,15.79 ,10.06 ,5.73 ,40.8,25,15.7,22005.63,23.01300542
2015,福建,13,0,0,20828,16.69 ,11.02 ,5.66 ,36.2,23.9,12.3,25979.82,13.23484477
2015,江西,14,1,0,14489,17.84 ,12.97 ,4.88 ,44,30.9,13,16723.78,23.31645671
2015,山东,15,0,0,20684,19.26 ,11.66 ,7.60 ,38.9,22.7,16.2,63002.33,11.80591379
2015,河南,16,1,0,14507,19.01 ,13.30 ,5.71 ,44.6,30.3,14.2,37002.16,16.91390779
2015,湖北,17,1,0,17429,15.19 ,8.61 ,6.58 ,35.9,20.6,15.3,29550.19,16.89759084
2015,湖南,18,1,0,16289,20.23 ,12.68 ,7.55 ,42.1,26.2,16,28902.21,18.59238619
2015,广东,19,0,0,26365,16.62 ,11.65 ,4.97 ,30.5,20.9,9.6,72812.55,12.94573203
2015,广西,20,0,1,13857,22.61 ,16.01 ,6.61 ,47.9,33.5,14.4,16803.12,22.90147371
2015,海南,21,0,0,17019,14.58 ,10.56 ,4.02 ,39.4,27.6,11.8,3702.76,31.92636069
2015,重庆,22,0,1,18860,17.94 ,10.05 ,7.89 ,40.6,21.9,18.7,15717.27,26.69997195
2015,四川,23,0,1,14774,17.39 ,10.07 ,7.33 ,40.5,22.3,18.2,30053.1,22.83347575
2015,贵州,24,0,1,12876,19.17 ,13.71 ,5.46 ,46.9,33,13.9,10502.56,40.21598903
2015,云南,25,0,1,13401,18.19 ,13.03 ,5.17 ,38,26.4,11.6,13619.17,34.65415778
2015,西藏,26,0,1,8756,10.70 ,8.59 ,2.11 ,41.4,33.3,8.1,1026.39,129.1442592
2015,陕西,27,0,1,15363,13.95 ,8.41 ,5.55 ,34,20.2,13.9,18021.86,22.99621965
2015,甘肃,28,0,1,11868,15.92 ,10.22 ,5.70 ,36,23.3,12.7,6790.32,36.45109908
2015,青海,29,0,1,15167,14.71 ,10.98 ,3.73 ,37.3,27.6,9.7,2417.05,61.21074812
