"","item_id","category_desc","start_date","end_date","date_count"
"1",5272,"Drink",2013-05-20,2013-10-22,156
"2",5276,"Drink",2013-05-20,2015-02-05,627
"3",5285,"Main",2013-05-20,2015-05-17,728
"4",5290,"Drink",2013-05-21,2014-11-09,538
"5",5293,"Drink",2013-05-20,2015-05-17,728
"6",5296,"Drink",2013-05-20,2014-11-16,546
"7",5300,"Drink",2013-05-20,2015-05-10,721
"8",5306,"Main",2013-05-20,2015-05-17,728
"9",5310,"Snack",2014-02-04,2014-02-27,24
"10",5311,"Snack",2013-05-20,2015-05-17,728
"11",5312,"Snack",2014-03-20,2015-05-17,424
"12",5319,"Side Item",2013-05-20,2015-05-17,728
"13",5339,"Snack",2014-03-24,2015-03-03,345
"14",5341,"Side Item",2013-05-20,2015-05-17,728
"15",5348,"Dessert",2013-05-20,2015-05-17,728
"16",5371,"Drink",2013-05-20,2015-05-17,728
"17",5372,"Drink",2013-05-20,2015-05-17,728
"18",5373,"Drink",2013-05-20,2015-05-17,728
"19",5383,"Side Item",2013-05-20,2015-05-17,728
"20",5410,"Non-Food",2013-05-20,2015-05-17,728
"21",5411,"Others",2013-07-13,2015-05-17,674
"22",5968,"Main",2013-05-20,2015-05-17,728
"23",5969,"Main",2013-05-20,2015-05-17,728
"24",5971,"Main",2013-05-20,2015-05-17,728
"25",5976,"Main",2013-06-09,2015-05-14,705
"26",5977,"Main",2013-05-20,2015-05-17,728
"27",5979,"Side Item",2013-05-20,2015-05-17,728
"28",5984,"Side Item",2013-05-20,2015-05-17,728
"29",5986,"Side Item",2013-05-20,2015-05-17,728
"30",5989,"Side Item",2013-05-20,2015-05-17,728
"31",5990,"Side Item",2013-05-20,2015-05-17,728
"32",5991,"Side Item",2013-05-20,2015-05-17,728
"33",5992,"Main",2013-05-20,2015-05-17,728
"34",5999,"Drink",2013-08-26,2015-05-17,630
"35",6000,"Drink",2013-08-26,2013-12-27,124
"36",6021,"Snack",2013-05-20,2014-03-21,306
"37",6023,"Snack",2013-05-20,2014-03-20,305
"38",6025,"Snack",2013-05-20,2014-03-20,305
"39",6029,"Snack",2013-05-20,2015-05-17,728
"40",6034,"Snack",2013-05-20,2015-05-17,728
"41",6040,"Snack",2013-05-20,2015-05-17,728
"42",6050,"Main",2013-05-20,2015-05-17,728
"43",6052,"Main",2013-05-20,2014-02-18,275
"44",6060,"Dessert",2013-05-20,2015-05-17,728
"45",6061,"Dessert",2013-05-20,2015-05-17,728
"46",6067,"Snack",2014-07-01,2014-07-30,30
"47",6074,"Drink",2013-05-20,2013-10-17,151
"48",6076,"Drink",2013-06-01,2013-12-20,203
"49",6082,"Drink",2013-05-20,2015-03-25,675
"50",6095,"Dessert",2013-05-20,2015-05-17,728
"51",6105,"Main",2013-05-20,2015-05-17,728
"52",6106,"Main",2013-05-20,2015-04-18,699
"53",6107,"Main",2013-05-20,2015-05-17,728
"54",6112,"Main",2013-05-20,2015-05-17,728
