"","X","item_id","category_desc","start_date","end_date","date_count"
"1",8,5306,"Main","2013-05-20","2015-05-17",728
"2",19,5383,"Side Item","2013-05-20","2015-05-17",728
"3",22,5968,"Main","2013-05-20","2015-05-17",728
"4",23,5969,"Main","2013-05-20","2015-05-17",728
"5",25,5976,"Main","2013-06-09","2015-05-14",705
"6",26,5977,"Main","2013-05-20","2015-05-17",728
"7",28,5984,"Side Item","2013-05-20","2015-05-17",728
"8",32,5991,"Side Item","2013-05-20","2015-05-17",728
"9",33,5992,"Main","2013-05-20","2015-05-17",728
"10",40,6034,"Snack","2013-05-20","2015-05-17",728
"11",41,6040,"Snack","2013-05-20","2015-05-17",728
"12",52,6106,"Main","2013-05-20","2015-04-18",699
"13",53,6107,"Main","2013-05-20","2015-05-17",728
"14",59,6186,"Drink","2013-05-20","2015-05-17",728
"15",66,11149,"Drink","2013-05-21","2015-05-17",727
"16",70,11399,"Main","2013-05-20","2015-05-17",728
"17",79,11537,"Side Item","2013-05-20","2015-05-17",728
"18",109,12324,"Main","2013-05-20","2015-02-09",631
