,rules,support,confidence,lift
5,"{Main_ID11399,Main_ID12988} => {Drink_ID6186}",0.103163686,0.824175824,1.697381938
9,"{Main_ID5977,Side Item_ID5984} => {Snack_ID6034}",0.176066025,0.805031447,1.706291142
10,"{Main_ID5977,Snack_ID6040} => {Snack_ID6034}",0.21045392,0.831521739,1.762438205
11,"{Main_ID5977,Side Item_ID5319} => {Snack_ID6034}",0.187070151,0.824242424,1.747009453
27,"{Main_ID12360,Main_ID5992} => {Drink_ID6186}",0.112792297,0.803921569,1.6556685
32,"{Main_ID11399,Main_ID12360} => {Drink_ID6186}",0.114167813,0.81372549,1.675859579
33,"{Main_ID12910,Main_ID5969} => {Side Item_ID11537}",0.105914718,0.836956522,1.709178065
38,"{Drink_ID11149,Main_ID11399} => {Drink_ID6186}",0.116918845,0.825242718,1.699579196
40,"{Drink_ID12794,Main_ID5969} => {Side Item_ID5991}",0.10866575,0.81443299,1.529955513
42,"{Main_ID12777,Main_ID5969} => {Side Item_ID5991}",0.107290234,0.821052632,1.542390861
46,"{Drink_ID5300,Main_ID5992} => {Drink_ID6186}",0.160935351,0.806896552,1.661795448
48,"{Drink_ID5300,Main_ID5306} => {Side Item_ID5991}",0.154057772,0.817518248,1.535751334
53,"{Main_ID11777,Main_ID6106} => {Side Item_ID5991}",0.126547455,0.814159292,1.529441357
54,"{Main_ID11777,Main_ID5306} => {Side Item_ID5991}",0.169188446,0.803921569,1.510209252
60,"{Main_ID11399,Main_ID11777} => {Drink_ID6186}",0.185694635,0.828220859,1.705712647
68,"{Main_ID11399,Side Item_ID5383} => {Drink_ID6186}",0.222833563,0.814070352,1.676569818
70,"{Drink_ID6186,Main_ID5285} => {Side Item_ID5991}",0.225584594,0.815920398,1.532749688
